1,"execCode('10.10.10.1',root)","OR",0
2,"RULE 1 (local exploit)","AND",0
3,"vulExists('10.10.10.1','CVE-2013-2207',glibc,localExploit,privEscalation)","LEAF",1
4,"execCode('10.10.10.1',someUser)","OR",0
5,"RULE 2 (remote exploit of a server program)","AND",0
6,"netAccess('10.10.10.1',tcp,'22')","OR",0
7,"RULE 6 (direct network access)","AND",0
8,"hacl(internet,'10.10.10.1',tcp,'22')","LEAF",1
9,"attackerLocated(internet)","LEAF",1
10,"networkServiceInfo('10.10.10.1',openssh,tcp,'22',someUser)","LEAF",1
11,"vulExists('10.10.10.1','CVE-2008-5161',openssh,remoteExploit,privEscalation)","LEAF",1
12,"RULE 2 (remote exploit of a server program)","AND",0
13,"netAccess('10.10.10.1',tcp,'25')","OR",0
14,"RULE 6 (direct network access)","AND",0
15,"hacl(internet,'10.10.10.1',tcp,'25')","LEAF",1
16,"networkServiceInfo('10.10.10.1',safari,tcp,'25',someUser)","LEAF",1
17,"vulExists('10.10.10.1','CVE-2015-2808',safari,remoteExploit,privEscalation)","LEAF",1
18,"execCode('10.10.10.1',user)","OR",0
19,"RULE 0 (When a principal is compromised any machine he has an account on will also be compromised)","AND",0
20,"canAccessHost('10.10.10.1')","OR",0
21,"RULE 8 (Access a host through executing code on the machine)","AND",0
22,"RULE 8 (Access a host through executing code on the machine)","AND",0
23,"hasAccount('10.10.10.1_victim','10.10.10.1',user)","LEAF",1
24,"principalCompromised('10.10.10.1_victim')","OR",0
25,"RULE 11 (password sniffing)","AND",0
26,"execCode('10.10.10.2',root)","OR",0
27,"RULE 1 (local exploit)","AND",0
28,"vulExists('10.10.10.2','CVE-2013-2207',glibc,localExploit,privEscalation)","LEAF",1
29,"execCode('10.10.10.2',someUser)","OR",0
30,"RULE 2 (remote exploit of a server program)","AND",0
31,"netAccess('10.10.10.2',tcp,'22')","OR",0
32,"RULE 5 (multi-hop access)","AND",0
33,"hacl('10.10.10.1','10.10.10.2',tcp,'22')","LEAF",1
34,"RULE 5 (multi-hop access)","AND",0
35,"RULE 5 (multi-hop access)","AND",0
36,"RULE 6 (direct network access)","AND",0
37,"hacl(internet,'10.10.10.2',tcp,'22')","LEAF",1
38,"networkServiceInfo('10.10.10.2',openssh,tcp,'22',someUser)","LEAF",1
39,"vulExists('10.10.10.2','CVE-2008-5161',openssh,remoteExploit,privEscalation)","LEAF",1
40,"RULE 2 (remote exploit of a server program)","AND",0
41,"netAccess('10.10.10.2',tcp,'25')","OR",0
42,"RULE 5 (multi-hop access)","AND",0
43,"hacl('10.10.10.1','10.10.10.2',tcp,'25')","LEAF",1
44,"RULE 5 (multi-hop access)","AND",0
45,"RULE 5 (multi-hop access)","AND",0
46,"RULE 6 (direct network access)","AND",0
47,"hacl(internet,'10.10.10.2',tcp,'25')","LEAF",1
48,"networkServiceInfo('10.10.10.2',safari,tcp,'25',someUser)","LEAF",1
49,"vulExists('10.10.10.2','CVE-2015-2808',safari,remoteExploit,privEscalation)","LEAF",1
50,"execCode('10.10.10.2',user)","OR",0
51,"RULE 0 (When a principal is compromised any machine he has an account on will also be compromised)","AND",0
52,"canAccessHost('10.10.10.2')","OR",0
53,"RULE 8 (Access a host through executing code on the machine)","AND",0
54,"RULE 8 (Access a host through executing code on the machine)","AND",0
55,"hasAccount('10.10.10.2_victim','10.10.10.2',user)","LEAF",1
56,"principalCompromised('10.10.10.2_victim')","OR",0
57,"RULE 11 (password sniffing)","AND",0
58,"execCode('10.10.10.3',root)","OR",0
59,"RULE 1 (local exploit)","AND",0
60,"vulExists('10.10.10.3','CVE-2013-2207',glibc,localExploit,privEscalation)","LEAF",1
61,"execCode('10.10.10.3',someUser)","OR",0
62,"RULE 2 (remote exploit of a server program)","AND",0
63,"netAccess('10.10.10.3',tcp,'22')","OR",0
64,"RULE 5 (multi-hop access)","AND",0
65,"hacl('10.10.10.1','10.10.10.3',tcp,'22')","LEAF",1
66,"RULE 5 (multi-hop access)","AND",0
67,"RULE 5 (multi-hop access)","AND",0
68,"RULE 5 (multi-hop access)","AND",0
69,"hacl('10.10.10.2','10.10.10.3',tcp,'22')","LEAF",1
70,"RULE 5 (multi-hop access)","AND",0
71,"RULE 5 (multi-hop access)","AND",0
72,"RULE 6 (direct network access)","AND",0
73,"hacl(internet,'10.10.10.3',tcp,'22')","LEAF",1
74,"networkServiceInfo('10.10.10.3',openssh,tcp,'22',someUser)","LEAF",1
75,"vulExists('10.10.10.3','CVE-2008-5161',openssh,remoteExploit,privEscalation)","LEAF",1
76,"RULE 2 (remote exploit of a server program)","AND",0
77,"netAccess('10.10.10.3',tcp,'25')","OR",0
78,"RULE 5 (multi-hop access)","AND",0
79,"hacl('10.10.10.1','10.10.10.3',tcp,'25')","LEAF",1
80,"RULE 5 (multi-hop access)","AND",0
81,"RULE 5 (multi-hop access)","AND",0
82,"RULE 5 (multi-hop access)","AND",0
83,"hacl('10.10.10.2','10.10.10.3',tcp,'25')","LEAF",1
84,"RULE 5 (multi-hop access)","AND",0
85,"RULE 5 (multi-hop access)","AND",0
86,"RULE 6 (direct network access)","AND",0
87,"hacl(internet,'10.10.10.3',tcp,'25')","LEAF",1
88,"networkServiceInfo('10.10.10.3',safari,tcp,'25',someUser)","LEAF",1
89,"vulExists('10.10.10.3','CVE-2015-2808',safari,remoteExploit,privEscalation)","LEAF",1
90,"execCode('10.10.10.3',user)","OR",0
91,"RULE 0 (When a principal is compromised any machine he has an account on will also be compromised)","AND",0
92,"canAccessHost('10.10.10.3')","OR",0
93,"RULE 8 (Access a host through executing code on the machine)","AND",0
94,"RULE 8 (Access a host through executing code on the machine)","AND",0
95,"hasAccount('10.10.10.3_victim','10.10.10.3',user)","LEAF",1
96,"principalCompromised('10.10.10.3_victim')","OR",0
97,"RULE 11 (password sniffing)","AND",0
